"age" "educ" "black" "hisp" "married" "nodegr" "re74" "re75" "re78" "treat"
"1" 37 11 1 0 1 1 0 0 9930.05 1
"2" 22 9 0 1 0 1 0 0 3595.89 1
"3" 30 12 1 0 0 0 0 0 24909.5 1
"4" 27 11 1 0 0 1 0 0 7506.15 1
"5" 33 8 1 0 0 1 0 0 289.79 1
"6" 22 9 1 0 0 1 0 0 4056.49 1
"7" 23 12 1 0 0 0 0 0 0 1
"8" 32 11 1 0 0 1 0 0 8472.16 1
"9" 22 16 1 0 0 0 0 0 2164.02 1
"10" 33 12 0 0 1 0 0 0 12418.1 1
"11" 19 9 1 0 0 1 0 0 8173.91 1
"12" 21 13 1 0 0 0 0 0 17094.6 1
"13" 18 8 1 0 0 1 0 0 0 1
"14" 27 10 1 0 1 1 0 0 18739.9 1
"15" 17 7 1 0 0 1 0 0 3023.88 1
"16" 19 10 1 0 0 1 0 0 3228.5 1
"17" 27 13 1 0 0 0 0 0 14581.9 1
"18" 23 10 1 0 0 1 0 0 7693.4 1
"19" 40 12 1 0 0 0 0 0 10804.3 1
"20" 26 12 1 0 0 0 0 0 10747.4 1
"21" 23 11 1 0 0 1 0 0 0 1
"22" 41 14 0 0 0 0 0 0 5149.5 1
"23" 38 9 0 0 0 1 0 0 6408.95 1
"24" 24 11 1 0 0 1 0 0 1991.4 1
"25" 18 10 1 0 0 1 0 0 11163.2 1
"26" 29 11 1 0 1 1 0 0 9643 1
"27" 25 11 1 0 0 1 0 0 9897.05 1
"28" 27 10 0 1 0 1 0 0 11142.9 1
"29" 17 10 1 0 0 1 0 0 16218 1
"30" 24 11 1 0 0 1 0 0 995.7 1
"31" 17 10 1 0 0 1 0 0 0 1
"32" 48 4 1 0 0 1 0 0 6551.59 1
"33" 25 11 1 0 1 1 0 0 1574.42 1
"34" 20 12 1 0 0 0 0 0 0 1
"35" 25 12 1 0 0 0 0 0 3191.75 1
"36" 42 14 1 0 0 0 0 0 20505.9 1
"37" 25 5 1 0 0 1 0 0 6181.88 1
"38" 23 12 1 0 1 0 0 0 5911.55 1
"39" 46 8 1 0 1 1 0 0 3094.16 1
"40" 24 10 1 0 0 1 0 0 0 1
"41" 21 12 1 0 0 0 0 0 1254.58 1
"42" 19 9 0 0 0 1 0 0 13188.8 1
"43" 17 8 1 0 0 1 0 0 8061.49 1
"44" 18 8 0 1 1 1 0 0 2787.96 1
"45" 20 11 1 0 0 1 0 0 3972.54 1
"46" 25 11 1 0 1 1 0 0 0 1
"47" 17 8 1 0 0 1 0 0 0 1
"48" 17 9 1 0 0 1 0 0 0 1
"49" 25 5 1 0 0 1 0 0 12187.4 1
"50" 23 12 1 0 0 0 0 0 4843.18 1
"51" 28 8 1 0 0 1 0 0 0 1
"52" 31 11 1 0 1 1 0 0 8087.49 1
"53" 18 11 1 0 0 1 0 0 0 1
"54" 25 12 1 0 0 0 0 0 2348.97 1
"55" 30 11 1 0 1 1 0 0 590.782 1
"56" 17 10 1 0 0 1 0 0 0 1
"57" 37 9 1 0 0 1 0 0 1067.51 1
"58" 41 4 1 0 1 1 0 0 7284.99 1
"59" 42 14 1 0 1 0 0 0 13167.5 1
"60" 22 11 0 0 0 1 0 0 1048.43 1
"61" 17 8 1 0 0 1 0 0 0 1
"62" 29 8 1 0 0 1 0 0 1923.94 1
"63" 35 10 1 0 0 1 0 0 4666.24 1
"64" 27 11 1 0 0 1 0 0 549.298 1
"65" 29 4 1 0 0 1 0 0 762.915 1
"66" 28 9 1 0 0 1 0 0 10694.3 1
